,name,birth,position,height
0,강민호,19850818,포수,185
1,강준서,20001013,내야수,183
2,강한울,19910912,내야수,181
3,공민규,19990927,내야수,183
4,구자욱,19930212,외야수,189
5,김대우,19881121,투수,183
6,김도환,20000414,포수,178
7,김동엽,19900724,외야수,186
8,김동진,19961218,내야수,184
9,김민수,19910302,포수,177
10,김민호,20031228,내야수,185
11,김상민,20031206,외야수,183
12,김서준,20030901,투수,183
13,김성윤,19990202,외야수,163
14,김시온,20031030,투수,189
15,김시현,19980926,투수,181
16,김영웅,20030824,내야수,183
17,김용하,19990727,투수,185
18,김재상,20040726,내야수,180
19,김재성,19961030,포수,185
20,김준우,19990531,투수,185
21,김지찬,20010308,내야수,163
22,김태우,19990915,투수,193
23,김태훈,19960331,외야수,177
24,김태훈,19960331,외야수,177
25,김헌곤,19881109,외야수,174
26,김현준,20021011,외야수,178
27,김호재,19950531,내야수,178
28,노건우,19891022,투수,182
29,류승민,20041011,외야수,185
30,류지혁,19940113,내야수,181
31,맹성주,19990907,투수,183
32,문용익,19950204,투수,178
33,박권후,20040528,투수,184
34,박세웅,19960510,투수,180
35,박시원,20040316,투수,187
36,박용민,19990320,투수,193
37,박장민,20030902,내야수,179
38,박주혁,20010518,투수,182
39,박진우,20031014,포수,176
40,백정현,19870713,투수,184
41,뷰캐넌,19890511,투수,190
42,서주원,19990131,포수,173
43,서현원,20040228,투수,187
44,송준석,19940504,외야수,176
45,수아레즈,19891008,투수,190
46,신윤호,20040908,투수,183
47,신정환,20030428,투수,188
48,안주형,19930814,내야수,176
49,양우현,20000413,내야수,175
50,양창섭,19990922,투수,182
51,오승환,19820715,투수,178
52,오재일,19861029,내야수,187
53,오현석,20010305,내야수,183
54,와이드너,19941024,투수,183
55,우규민,19850121,투수,184
56,원태인,20000406,투수,183
57,윤정빈,19990624,외야수,182
58,윤정훈,20030706,내야수,182
59,이병헌,19991026,포수,180
60,이상민,19901104,투수,180
61,이성규,19930803,내야수,178
62,이승현,20020519,투수,183
63,이승현,19911120,투수,181
64,이재익,19940318,투수,180
65,이재현,20030204,내야수,180
66,이재희,20011011,투수,187
67,이태훈,19950403,내야수,183
68,이해승,20000801,내야수,180
69,이호성,20040814,투수,184
70,장재혁,20020816,투수,177
71,장필준,19880408,투수,190
72,정진수,19970925,포수,177
73,조민성,20031022,내야수,181
74,최지광,19980313,투수,173
75,최채흥,19950122,투수,186
76,최충연,19970305,투수,190
77,최하늘,19990326,투수,190
78,피렐라,19891121,외야수,183
79,한연욱,20010211,투수,188
80,허윤동,20010619,투수,181
81,홍무원,20020111,투수,188
82,홍승원,20011206,투수,185
83,홍원표,20010327,투수,183
84,홍정우,19960316,투수,182
85,황동재,20011103,투수,191
